Failure type	|Probe	|Usage	|Node Name	|Device Name	|Date/Time	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917075540	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917075622	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917075622	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917075723	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917075723	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917075810	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917075810	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080144	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080144	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080247	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080247	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080249	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080249	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080250	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080250	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080304	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080304	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080305	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080305	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080306	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080306	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080307	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080307	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080307	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080307	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080308	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080308	|
