 A2ADB1        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails     816/2076 Selected Drills           2-Jun-2015 14:05
                        816 Nails,  696 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$299       6.725     3.225   1  F3   (B)  #50   TWP_E12          V VIA .
$300       5.925     3.225   1  E3   (B)  #51   TWP_E13          V VIA .
$301       6.090     3.080   1  E3   (B)  #56   TWP_G12          V VIA .
$302       5.925     3.425   1  E3   (B)  #57   TWP_G13          V VIA .
$303       7.975     0.395   1  G1   (B)  #343  UNNAMED_9_555_I229_CONT V VIA .
$304       8.285     0.500   1  G1   (B)  #344  UNNAMED_9_555_I229_DISCH V VIA .
$305       8.275     0.950   1  G1   (B)  #345  UNNAMED_9_555_I229_OUT V VIA .
$306       8.350     0.420   1  G1   (B)  #111  UNNAMED_9_555_I229_RESET V VIA .
$307       8.220     0.420   1  G1   (B)  #201  UNNAMED_9_555_I229_THRES V VIA .
$308       8.275     1.200   1  G1   (B)  #532  UNNAMED_9_LED_I214_A V VIA .
$309       8.375     0.925   1  G1   (B)  #658  UNNAMED_9_R_I212_B V VIA .
$310       2.275     7.400   2  B6   (B)  #618  UNNAMED_9_R_I235_A V VIA .
$311       2.275     7.925   1  B7   (B)  #621  UNNAMED_9_R_I237_A V VIA .
$312       2.100     7.964   1  B7   (B)  #622  UNNAMED_9_R_I239_A V VIA .
$313       4.000     1.200   1  D1   (B)  #679  UNNAMED_9_TL084B_I267_NIN V VIA .
$314       1.725    10.290   1  B9   (B)  #415  UNNAMED_10_BC817_I58_B V VIA .
$315       1.280    10.025   1  B9   (B)  #416  UNNAMED_10_BC817_I58_C V VIA .
$316       1.625    10.290   1  B9   (B)  #417  UNNAMED_10_BC817_I58_E V VIA .
$317       1.675    10.700   1  B9   (B)  #451  UNNAMED_10_C_I20_A V VIA .
$318       1.575    10.550   1  B9   (B)  #452  UNNAMED_10_C_I20_B V VIA .
$319       0.425    10.650   1  A9   (B)  #455  UNNAMED_10_C_I31_A V VIA .
$320       0.625    10.050   1  A9   (B)  #456  UNNAMED_10_C_I38_A V VIA .
$321       0.775    10.600   1  A9   (B)  #493  UNNAMED_10_C_I47_A V VIA .
$322       1.280    10.125   1  B9   (B)  #525  UNNAMED_10_IL300_I12_A V VIA .
$323       0.720    10.290   1  A9   (B)  #526  UNNAMED_10_IL300_I12_A2 V VIA .
$324       0.850    10.700   1  A9   (B)  #628  UNNAMED_10_R_I13_A V VIA .
$325       1.500    10.700   1  B9   (B)  #648  UNNAMED_10_R_I21_B V VIA .
$326       1.560    10.050   1  B9   (B)  #662  UNNAMED_10_R_I40_A V VIA .
$327       0.425    10.550   1  A9   (B)  #629  UNNAMED_10_R_I42_A V VIA .
$328       0.600    10.639   1  A9   (B)  #475  UNNAMED_10_R_I42_B V VIA .
$329       0.775    10.500   1  A9   (B)  #653  UNNAMED_10_R_I44_A V VIA .
$330       0.597    10.803   1  A9   (B)  #642  UNNAMED_10_R_I45_B V VIA .
$331       0.850    10.290   1  A9   (B)  #640  UNNAMED_10_R_I64_B V VIA .
$332       0.775    10.400   1  A9   (B)  #641  UNNAMED_10_R_I67_B V VIA .
$333       1.225    10.800   1  A9   (B)  #193  UNNAMED_10_R_I89_B V VIA .
$334       1.150    10.700   1  A9   (B)  #194  UNNAMED_10_R_I90_B V VIA .
$335       1.135    10.500   1  A9   (B)  #191  UNNAMED_10_R_I91_B V VIA .
$336       1.225    10.550   1  A9   (B)  #253  UNNAMED_10_R_I92_B V VIA .
$337       1.226    10.361   1  A9   (B)  #192  UNNAMED_10_R_I93_B V VIA .
$338       2.850    10.825   1  C9   (B)  #670  UNNAMED_10_R_I97_B V PIN R44.1
$339       2.350    10.825   1  B9   (B)  #665  UNNAMED_10_R_I100_A V PIN R44.2
$340       2.350    10.600   1  B9   (B)  #666  UNNAMED_10_R_I115_B V PIN R50.1
$341       2.850    10.600   1  C9   (B)  #671  UNNAMED_10_R_I116_B V PIN R50.2
$342       0.425    10.850   1  A9   (B)  #681  UNNAMED_10_TL084B_I82_NIN V VIA .
$343       0.775    10.850   1  A9   (B)  #682  UNNAMED_10_TL084B_I84_NIN V VIA .
$344       1.575    10.850   1  B9   (B)  #674  UNNAMED_10_TL084B_I108_NIN V VIA .
$345       1.700     6.875   1  B6   (B)  #406  UNNAMED_36_BC817_I58_B V VIA .
$346       1.280     6.625   1  B6   (B)  #407  UNNAMED_36_BC817_I58_C V VIA .
$347       1.600     6.875   1  B6   (B)  #408  UNNAMED_36_BC817_I58_E V VIA .
$348       1.280     6.925   1  B6   (B)  #447  UNNAMED_36_C_I20_A V VIA .
$349       1.925     7.450   1  B6   (B)  #448  UNNAMED_36_C_I20_B V VIA .
$350       0.600     6.575   1  A6   (B)  #474  UNNAMED_36_C_I38_A V VIA .
$351       2.275     7.200   1  B6   (B)  #467  UNNAMED_36_C_I46_A V VIA .
$352       0.500     6.775   1  A6   (B)  #492  UNNAMED_36_C_I47_A V VIA .
$353       0.825     7.300   1  A6   (B)  #465  UNNAMED_36_C_I49_A V VIA .
$354       1.900     7.250   1  B6   (B)  #463  UNNAMED_36_C_I147_A V VIA .
$355       1.280     6.725   1  B6   (B)  #517  UNNAMED_36_IL300_I12_A V VIA .
$356       0.725     7.000   1  A6   (B)  #518  UNNAMED_36_IL300_I12_A2 V VIA .
$357       0.600     6.675   1  A6   (B)  #626  UNNAMED_36_R_I13_A V VIA .
$358       1.755     7.025   1  B6   (B)  #646  UNNAMED_36_R_I21_B V VIA .
$359       1.560     6.650   1  B6   (B)  #660  UNNAMED_36_R_I40_A V VIA .
$360       0.650     6.775   1  A6   (B)  #651  UNNAMED_36_R_I44_A V VIA .
$361       0.925     7.300   1  A6   (B)  #636  UNNAMED_36_R_I45_B V VIA .
$362       0.850     6.775   1  A6   (B)  #631  UNNAMED_36_R_I64_B V VIA .
$363       0.775     6.636   1  A6   (B)  #635  UNNAMED_36_R_I67_B V VIA .
$364       0.350     6.775   1  A6   (B)  #616  UNNAMED_36_R_I86_B V VIA .
